target_id,account_id,campaign_id,first_target_at,month,recommended_channel,priority,borrower_id,dpd,risk_segment,loan_type,outstanding_amount,timezone,campaign_name,channel,strategy_version,dpd_band,targeting_events,cohort_recovered_amount,cohort_payment_count,recovered_amount,payment_count,recovered
TGT0021098,ACC0000114,CMP0000006,2026-01-23,2026-01,SMS,3,BRW0010023,75,MEDIUM,CREDIT_CARD,57859.1,Asia/Kolkata,BOUNCE,MIXED,legacy,61-90,1,0.0,0.0,0.0,0.0,False
TGT0033134,ACC0000120,CMP0000107,2026-01-26,2026-01,WHATSAPP,1,BRW0004055,45,NPA,BNPL,38663.97,UTC,DIGITAL_FOLLOWUP,SMS,legacy,31-60,1,0.0,0.0,0.0,0.0,False
TGT0027934,ACC0000127,CMP0000028,2026-01-14,2026-01,FIELD,4,BRW0003733,15,NPA,AUTO,292417.3,UTC,30DPD_W1,SMS,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0028490,ACC0000128,CMP0000010,2026-01-22,2026-01,SMS,10,BRW0007007,120,MEDIUM,BNPL,96417.33,UTC,30DPD_W1,FIELD,v1,91+,1,0.0,0.0,0.0,0.0,False
TGT0013513,ACC0000130,CMP0000066,2026-01-06,2026-01,VOICE,6,,30,MEDIUM,CREDIT_CARD,290814.12,UTC,60DPD_INTENT,WHATSAPP,v2,0-30,2,0.0,0.0,0.0,0.0,False
TGT0014754,ACC0000132,CMP0000053,2026-01-23,2026-01,WHATSAPP,1,BRW0000115,120,NPA,BNPL,402131.29,UTC,DIGITAL_FOLLOWUP,VOICE,v1,91+,1,0.0,0.0,0.0,0.0,False
TGT0041304,ACC0000140,CMP0000026,2026-01-29,2026-01,FIELD,4,BRW0003489,180,MEDIUM,CREDIT_CARD,693625.33,UTC,30DPD_W1,FIELD,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0015243,ACC0000141,CMP0000014,2026-01-04,2026-01,VOICE,4,BRW0009040,60,LOW,BNPL,493675.37,UTC,NPA_RECOVERY,SMS,v1,31-60,1,0.0,0.0,0.0,0.0,False
TGT0030477,ACC0000144,CMP0000116,2026-01-04,2026-01,VOICE,8,BRW0006207,30,MEDIUM,PERSONAL,259713.4,Asia/Kolkata,DIGITAL_FOLLOWUP,VOICE,v1,0-30,1,0.0,0.0,0.0,0.0,False
TGT0009250,ACC0000145,CMP0000032,2026-01-08,2026-01,SMS,8,BRW0009514,0,HIGH,BNPL,259430.17,Asia/Kolkata,NPA_RECOVERY,MIXED,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0026648,ACC0000149,CMP0000008,2026-01-12,2026-01,WHATSAPP,2,BRW0003268,90,MEDIUM,BNPL,101445.68,Asia/Kolkata,NPA_RECOVERY,SMS,v2,61-90,1,0.0,0.0,0.0,0.0,False
TGT0028435,ACC0000161,CMP0000040,2026-01-01,2026-01,VOICE,1,BRW0000079,90,NPA,BNPL,572297.22,UTC,DIGITAL_FOLLOWUP,FIELD,v1,61-90,1,0.0,0.0,0.0,0.0,False
TGT0035607,ACC0000164,CMP0000033,2026-01-19,2026-01,WHATSAPP,3,BRW0001287,75,MEDIUM,PERSONAL,646106.64,Asia/Kolkata,DIGITAL_FOLLOWUP,WHATSAPP,legacy,61-90,1,0.0,0.0,0.0,0.0,False
TGT0004930,ACC0000166,CMP0000041,2026-01-15,2026-01,FIELD,6,BRW0000424,180,MEDIUM,PERSONAL,339556.17,Asia/Dubai,30DPD_W1,SMS,legacy,91+,1,73965.67,1.0,73965.67,1.0,True
TGT0006653,ACC0000167,CMP0000060,2026-01-11,2026-01,SMS,9,BRW0007157,5,LOW,CONSUMER,696386.93,UTC,30DPD_W1,SMS,v3,0-30,2,0.0,0.0,0.0,0.0,False
TGT0037299,ACC0000174,CMP0000033,2026-01-26,2026-01,VOICE,6,BRW0003750,30,HIGH,PERSONAL,26526.62,Asia/Kolkata,DIGITAL_FOLLOWUP,WHATSAPP,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0031489,ACC0000180,CMP0000095,2026-01-12,2026-01,SMS,8,BRW0000800,1,MEDIUM,CONSUMER,88649.96,Asia/Dubai,DIGITAL_FOLLOWUP,VOICE,legacy,0-30,2,0.0,0.0,0.0,0.0,False
TGT0010416,ACC0000196,CMP0000095,2026-01-08,2026-01,WHATSAPP,6,BRW0005595,90,LOW,PERSONAL,142305.98,UTC,DIGITAL_FOLLOWUP,VOICE,legacy,61-90,1,0.0,0.0,0.0,0.0,False
TGT0031063,ACC0000198,CMP0000051,2026-01-02,2026-01,SMS,7,BRW0003252,45,NPA,CREDIT_CARD,18142.57,Asia/Dubai,DIGITAL_FOLLOWUP,WHATSAPP,v1,31-60,1,0.0,0.0,0.0,0.0,False
TGT0013446,ACC0000199,CMP0000083,2026-01-29,2026-01,WHATSAPP,1,BRW0003062,120,LOW,CREDIT_CARD,198701.72,Asia/Dubai,BOUNCE,WHATSAPP,v2,91+,1,0.0,0.0,0.0,0.0,False
TGT0041876,ACC0000221,CMP0000066,2026-01-14,2026-01,FIELD,10,BRW0007957,15,HIGH,AUTO,497026.32,Asia/Dubai,60DPD_INTENT,WHATSAPP,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0042987,ACC0000223,CMP0000008,2026-01-01,2026-01,SMS,2,BRW0001515,90,LOW,PERSONAL,456370.96,UTC,NPA_RECOVERY,SMS,v2,61-90,1,0.0,0.0,0.0,0.0,False
TGT0041086,ACC0000242,CMP0000085,2026-01-15,2026-01,WHATSAPP,8,BRW0008517,45,HIGH,AUTO,453096.13,UTC,60DPD_INTENT,MIXED,legacy,31-60,1,24827.03,1.0,0.0,0.0,False
TGT0010460,ACC0000243,CMP0000060,2026-01-15,2026-01,SMS,6,BRW0005208,0,LOW,AUTO,496118.57,Asia/Kolkata,30DPD_W1,SMS,v3,0-30,1,95483.52,1.0,0.0,0.0,False
TGT0024522,ACC0000246,CMP0000034,2026-01-30,2026-01,FIELD,3,BRW0004772,75,HIGH,AUTO,527246.45,UTC,DIGITAL_FOLLOWUP,VOICE,v3,61-90,1,0.0,0.0,0.0,0.0,False
TGT0014213,ACC0000251,CMP0000066,2026-01-03,2026-01,SMS,7,,180,NPA,PERSONAL,4863.64,Asia/Kolkata,60DPD_INTENT,WHATSAPP,v2,91+,1,0.0,0.0,0.0,0.0,False
TGT0015313,ACC0000253,CMP0000016,2026-01-23,2026-01,VOICE,6,BRW0011262,120,NPA,CREDIT_CARD,302649.82,Asia/Kolkata,NPA_RECOVERY,MIXED,v1,91+,1,0.0,0.0,0.0,0.0,False
TGT0031340,ACC0000263,CMP0000082,2026-01-01,2026-01,WHATSAPP,10,BRW0009484,5,NPA,CREDIT_CARD,689055.89,UTC,DIGITAL_FOLLOWUP,MIXED,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0023311,ACC0000267,CMP0000080,2026-01-18,2026-01,FIELD,6,BRW0005491,45,MEDIUM,CREDIT_CARD,490223.39,Asia/Dubai,NPA_RECOVERY,WHATSAPP,legacy,31-60,2,0.0,0.0,0.0,0.0,False
TGT0028999,ACC0000269,CMP0000103,2026-01-06,2026-01,VOICE,10,BRW0002980,45,MEDIUM,CREDIT_CARD,322688.33,UTC,NPA_RECOVERY,WHATSAPP,legacy,31-60,1,0.0,0.0,0.0,0.0,False
TGT0019313,ACC0000276,CMP0000009,2026-01-16,2026-01,SMS,5,BRW0007630,90,NPA,AUTO,47499.77,Asia/Dubai,60DPD_INTENT,WHATSAPP,v1,61-90,1,0.0,0.0,0.0,0.0,False
TGT0021454,ACC0000279,CMP0000115,2026-01-10,2026-01,SMS,10,BRW0005833,90,MEDIUM,CREDIT_CARD,269049.57,UTC,BOUNCE,FIELD,v2,61-90,1,0.0,0.0,0.0,0.0,False
TGT0006585,ACC0000286,CMP0000056,2026-01-04,2026-01,VOICE,10,BRW0011229,75,MEDIUM,BNPL,479005.36,UTC,60DPD_INTENT,WHATSAPP,v1,61-90,1,0.0,0.0,0.0,0.0,False
TGT0031734,ACC0000290,CMP0000031,2026-01-17,2026-01,FIELD,2,BRW0003170,180,LOW,BNPL,525445.15,UTC,30DPD_W1,VOICE,v3,91+,1,0.0,0.0,0.0,0.0,False
TGT0013035,ACC0000295,CMP0000041,2026-01-15,2026-01,VOICE,8,BRW0009436,75,NPA,CONSUMER,427412.51,UTC,30DPD_W1,SMS,legacy,61-90,1,0.0,0.0,0.0,0.0,False
TGT0030114,ACC0000300,CMP0000098,2026-01-25,2026-01,SMS,8,BRW0001919,5,HIGH,BNPL,79696.68,Asia/Kolkata,DIGITAL_FOLLOWUP,WHATSAPP,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0017042,ACC0000301,CMP0000008,2026-01-23,2026-01,SMS,5,BRW0004994,1,LOW,CONSUMER,56446.5,Asia/Kolkata,NPA_RECOVERY,SMS,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0013587,ACC0000304,CMP0000079,2026-01-02,2026-01,SMS,8,BRW0001345,1,LOW,PERSONAL,246761.73,UTC,NPA_RECOVERY,MIXED,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0015281,ACC0000313,CMP0000001,2026-01-10,2026-01,WHATSAPP,8,BRW0008166,5,MEDIUM,BNPL,390776.39,UTC,DIGITAL_FOLLOWUP,FIELD,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0008407,ACC0000316,CMP0000051,2026-01-09,2026-01,WHATSAPP,2,BRW0008838,120,NPA,CONSUMER,247379.01,Asia/Dubai,DIGITAL_FOLLOWUP,WHATSAPP,v1,91+,1,0.0,0.0,0.0,0.0,False
TGT0033078,ACC0000318,CMP0000038,2026-01-21,2026-01,FIELD,10,BRW0000933,15,LOW,BNPL,645614.69,UTC,NPA_RECOVERY,FIELD,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0007507,ACC0000328,CMP0000058,2026-01-16,2026-01,FIELD,10,BRW0005845,180,LOW,PERSONAL,371192.88,UTC,BOUNCE,VOICE,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0039842,ACC0000329,CMP0000096,2026-01-27,2026-01,WHATSAPP,7,BRW0008541,1,HIGH,CREDIT_CARD,640698.03,UTC,DIGITAL_FOLLOWUP,WHATSAPP,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0002496,ACC0000332,CMP0000036,2026-01-24,2026-01,VOICE,8,BRW0009320,45,LOW,PERSONAL,334833.3,Asia/Dubai,30DPD_W1,SMS,v1,31-60,1,0.0,0.0,0.0,0.0,False
TGT0013273,ACC0000333,CMP0000022,2026-01-10,2026-01,WHATSAPP,6,BRW0004815,60,NPA,CREDIT_CARD,199629.72,Asia/Dubai,60DPD_INTENT,VOICE,v3,31-60,1,0.0,0.0,0.0,0.0,False
TGT0024532,ACC0000346,CMP0000088,2026-01-13,2026-01,WHATSAPP,1,BRW0010052,30,HIGH,AUTO,618898.43,Asia/Dubai,30DPD_W1,MIXED,v1,0-30,1,0.0,0.0,0.0,0.0,False
TGT0006731,ACC0000350,CMP0000084,2026-01-09,2026-01,VOICE,8,BRW0000435,90,NPA,PERSONAL,573753.66,Asia/Kolkata,BOUNCE,FIELD,legacy,61-90,2,0.0,0.0,0.0,0.0,False
TGT0012159,ACC0000357,CMP0000092,2026-01-26,2026-01,SMS,5,BRW0004403,0,NPA,CREDIT_CARD,188662.53,UTC,NPA_RECOVERY,SMS,v3,0-30,1,128466.94,1.0,0.0,0.0,False
TGT0041836,ACC0000358,CMP0000068,2026-01-08,2026-01,WHATSAPP,6,BRW0011918,60,MEDIUM,CREDIT_CARD,73388.1,Asia/Dubai,NPA_RECOVERY,VOICE,v1,31-60,1,0.0,0.0,0.0,0.0,False
TGT0032796,ACC0000366,CMP0000009,2026-01-03,2026-01,VOICE,1,BRW0008750,75,NPA,BNPL,619387.47,UTC,60DPD_INTENT,WHATSAPP,v1,61-90,1,0.0,0.0,0.0,0.0,False
TGT0017933,ACC0000369,CMP0000028,2026-01-19,2026-01,WHATSAPP,3,BRW0005809,45,HIGH,CONSUMER,433980.21,Asia/Dubai,30DPD_W1,SMS,legacy,31-60,1,0.0,0.0,0.0,0.0,False
TGT0005126,ACC0000382,CMP0000027,2026-01-02,2026-01,SMS,1,BRW0001653,30,MEDIUM,CREDIT_CARD,594654.02,UTC,BOUNCE,VOICE,legacy,0-30,1,28340.06,1.0,28340.06,1.0,True
TGT0023928,ACC0000386,CMP0000005,2026-01-08,2026-01,VOICE,3,BRW0011121,120,NPA,CREDIT_CARD,374404.11,Asia/Kolkata,60DPD_INTENT,WHATSAPP,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0020035,ACC0000390,CMP0000022,2026-01-14,2026-01,SMS,8,BRW0009896,90,HIGH,PERSONAL,255167.87,UTC,60DPD_INTENT,VOICE,v3,61-90,1,0.0,0.0,0.0,0.0,False
TGT0004470,ACC0000391,CMP0000050,2026-01-09,2026-01,VOICE,10,BRW0010064,45,LOW,CONSUMER,125952.38,Asia/Dubai,NPA_RECOVERY,SMS,v1,31-60,1,0.0,0.0,0.0,0.0,False
TGT0000290,ACC0000393,CMP0000052,2026-01-09,2026-01,FIELD,4,BRW0005087,30,LOW,PERSONAL,664155.17,Asia/Kolkata,BOUNCE,SMS,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0040230,ACC0000396,CMP0000062,2026-01-16,2026-01,SMS,5,BRW0001215,1,MEDIUM,BNPL,330202.69,Asia/Kolkata,NPA_RECOVERY,SMS,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0027853,ACC0000405,CMP0000006,2026-01-06,2026-01,SMS,1,,180,NPA,BNPL,370255.12,Asia/Dubai,BOUNCE,MIXED,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0042876,ACC0000416,CMP0000119,2026-01-10,2026-01,WHATSAPP,4,BRW0001881,5,HIGH,CONSUMER,570621.52,UTC,30DPD_W1,SMS,v2,0-30,3,0.0,0.0,0.0,0.0,False
TGT0002326,ACC0000422,CMP0000068,2026-01-20,2026-01,SMS,5,BRW0000327,30,HIGH,PERSONAL,133901.14,UTC,NPA_RECOVERY,VOICE,v1,0-30,1,0.0,0.0,0.0,0.0,False
TGT0026239,ACC0000424,CMP0000005,2026-01-15,2026-01,VOICE,3,BRW0004928,15,LOW,PERSONAL,67675.48,Asia/Kolkata,60DPD_INTENT,WHATSAPP,legacy,0-30,2,0.0,0.0,0.0,0.0,False
TGT0042645,ACC0000425,CMP0000038,2026-01-23,2026-01,SMS,4,BRW0006745,75,LOW,CREDIT_CARD,140321.1,UTC,NPA_RECOVERY,FIELD,v2,61-90,1,0.0,0.0,0.0,0.0,False
TGT0008046,ACC0000432,CMP0000024,2026-01-22,2026-01,WHATSAPP,6,BRW0001389,180,LOW,PERSONAL,408957.93,Asia/Dubai,NPA_RECOVERY,SMS,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0009346,ACC0000433,CMP0000049,2026-01-03,2026-01,WHATSAPP,8,BRW0010111,75,MEDIUM,CONSUMER,51886.41,Asia/Kolkata,60DPD_INTENT,VOICE,v1,61-90,1,0.0,0.0,0.0,0.0,False
TGT0033500,ACC0000438,CMP0000097,2026-01-24,2026-01,WHATSAPP,3,BRW0010477,120,LOW,CONSUMER,398642.71,UTC,NPA_RECOVERY,MIXED,v2,91+,1,0.0,0.0,0.0,0.0,False
TGT0028627,ACC0000442,CMP0000039,2026-01-07,2026-01,WHATSAPP,6,BRW0010027,75,MEDIUM,PERSONAL,661858.05,UTC,DIGITAL_FOLLOWUP,SMS,v3,61-90,1,0.0,0.0,0.0,0.0,False
TGT0031956,ACC0000444,CMP0000029,2026-01-11,2026-01,WHATSAPP,1,BRW0002035,60,LOW,CREDIT_CARD,86359.48,Asia/Kolkata,60DPD_INTENT,MIXED,v1,31-60,1,0.0,0.0,0.0,0.0,False
TGT0043627,ACC0000445,CMP0000003,2026-01-20,2026-01,FIELD,9,BRW0011413,75,HIGH,CREDIT_CARD,344375.85,Asia/Dubai,30DPD_W1,MIXED,v1,61-90,1,0.0,0.0,0.0,0.0,False
TGT0007277,ACC0000465,CMP0000050,2026-01-06,2026-01,FIELD,7,BRW0005916,30,MEDIUM,CREDIT_CARD,124350.36,Asia/Dubai,NPA_RECOVERY,SMS,v1,0-30,1,0.0,0.0,0.0,0.0,False
TGT0012087,ACC0000472,CMP0000118,2026-01-03,2026-01,SMS,5,BRW0004996,15,NPA,BNPL,642678.94,UTC,30DPD_W1,FIELD,v3,0-30,1,0.0,0.0,0.0,0.0,False
TGT0019321,ACC0000475,CMP0000078,2026-01-31,2026-01,VOICE,2,BRW0008637,15,NPA,PERSONAL,426731.0,Asia/Dubai,60DPD_INTENT,SMS,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0003270,ACC0000478,CMP0000037,2026-01-05,2026-01,WHATSAPP,10,BRW0007800,30,LOW,CONSUMER,509738.3,Asia/Kolkata,BOUNCE,SMS,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0019641,ACC0000483,CMP0000067,2026-01-26,2026-01,SMS,3,BRW0005371,5,NPA,CREDIT_CARD,523827.64,UTC,30DPD_W1,MIXED,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0010239,ACC0000487,CMP0000032,2026-01-16,2026-01,WHATSAPP,10,BRW0007088,180,NPA,AUTO,420424.53,Asia/Kolkata,NPA_RECOVERY,MIXED,v2,91+,1,0.0,0.0,0.0,0.0,False
TGT0020628,ACC0000490,CMP0000089,2026-01-29,2026-01,FIELD,10,BRW0009448,0,MEDIUM,AUTO,592616.35,Asia/Kolkata,DIGITAL_FOLLOWUP,WHATSAPP,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0025654,ACC0000501,CMP0000034,2026-01-28,2026-01,WHATSAPP,8,BRW0010171,120,HIGH,BNPL,174864.87,UTC,DIGITAL_FOLLOWUP,VOICE,v3,91+,1,0.0,0.0,0.0,0.0,False
TGT0042571,ACC0000507,CMP0000026,2026-01-12,2026-01,VOICE,3,BRW0010124,60,HIGH,AUTO,103552.74,UTC,30DPD_W1,FIELD,legacy,31-60,1,0.0,0.0,0.0,0.0,False
TGT0043690,ACC0000509,CMP0000025,2026-01-24,2026-01,VOICE,4,BRW0001156,1,MEDIUM,BNPL,458501.91,Asia/Dubai,30DPD_W1,FIELD,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0039512,ACC0000519,CMP0000100,2026-01-28,2026-01,FIELD,7,BRW0004537,15,MEDIUM,AUTO,87272.03,UTC,BOUNCE,WHATSAPP,v3,0-30,1,0.0,0.0,0.0,0.0,False
TGT0014002,ACC0000520,CMP0000093,2026-01-12,2026-01,FIELD,10,BRW0006185,45,HIGH,AUTO,466094.03,UTC,60DPD_INTENT,SMS,legacy,31-60,1,16380.96,1.0,0.0,0.0,False
TGT0036076,ACC0000526,CMP0000086,2026-01-10,2026-01,WHATSAPP,6,BRW0003942,5,MEDIUM,BNPL,503114.44,Asia/Kolkata,DIGITAL_FOLLOWUP,SMS,v3,0-30,1,0.0,0.0,0.0,0.0,False
TGT0020566,ACC0000535,CMP0000099,2026-01-23,2026-01,SMS,8,BRW0010495,120,LOW,AUTO,453910.91,UTC,BOUNCE,WHATSAPP,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0003765,ACC0000540,CMP0000105,2026-01-09,2026-01,FIELD,2,BRW0009381,5,NPA,CREDIT_CARD,622983.81,Asia/Kolkata,BOUNCE,FIELD,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0021414,ACC0000550,CMP0000076,2026-01-25,2026-01,FIELD,1,BRW0000433,75,NPA,AUTO,54809.12,Asia/Dubai,DIGITAL_FOLLOWUP,VOICE,v3,61-90,1,0.0,0.0,0.0,0.0,False
TGT0024236,ACC0000559,CMP0000034,2026-01-23,2026-01,SMS,2,BRW0003267,180,LOW,CONSUMER,359345.61,Asia/Kolkata,DIGITAL_FOLLOWUP,VOICE,v3,91+,1,0.0,0.0,0.0,0.0,False
TGT0000551,ACC0000563,CMP0000001,2026-01-25,2026-01,SMS,8,BRW0005728,120,NPA,AUTO,92747.67,Asia/Kolkata,DIGITAL_FOLLOWUP,FIELD,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0017784,ACC0000566,CMP0000090,2026-01-14,2026-01,FIELD,5,BRW0007205,30,NPA,BNPL,102397.83,Asia/Dubai,30DPD_W1,FIELD,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0003650,ACC0000569,CMP0000104,2026-01-29,2026-01,SMS,8,BRW0009250,120,NPA,PERSONAL,18249.56,UTC,30DPD_W1,FIELD,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0013626,ACC0000575,CMP0000046,2026-01-03,2026-01,VOICE,1,BRW0000881,75,LOW,CREDIT_CARD,320836.15,UTC,BOUNCE,WHATSAPP,v3,61-90,2,0.0,0.0,0.0,0.0,False
TGT0017648,ACC0000583,CMP0000028,2026-01-03,2026-01,WHATSAPP,9,BRW0001474,180,NPA,CONSUMER,19167.84,UTC,30DPD_W1,SMS,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0038426,ACC0000593,CMP0000099,2026-01-13,2026-01,FIELD,6,BRW0009250,120,MEDIUM,AUTO,131596.83,Asia/Kolkata,BOUNCE,WHATSAPP,legacy,91+,1,0.0,0.0,0.0,0.0,False
TGT0027596,ACC0000595,CMP0000087,2026-01-30,2026-01,WHATSAPP,7,BRW0009095,15,MEDIUM,CREDIT_CARD,472034.57,UTC,60DPD_INTENT,SMS,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0028177,ACC0000598,CMP0000039,2026-01-31,2026-01,FIELD,9,BRW0001387,45,LOW,AUTO,313744.33,UTC,DIGITAL_FOLLOWUP,SMS,v3,31-60,1,0.0,0.0,0.0,0.0,False
TGT0044626,ACC0000599,CMP0000062,2026-01-31,2026-01,WHATSAPP,6,BRW0001787,5,NPA,BNPL,474322.96,UTC,NPA_RECOVERY,SMS,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0035474,ACC0000605,CMP0000017,2026-01-15,2026-01,FIELD,7,BRW0008671,1,HIGH,PERSONAL,303000.1,Asia/Dubai,NPA_RECOVERY,MIXED,v3,0-30,1,0.0,0.0,0.0,0.0,False
TGT0014379,ACC0000609,CMP0000048,2026-01-11,2026-01,WHATSAPP,6,BRW0011969,45,HIGH,AUTO,552906.84,UTC,NPA_RECOVERY,WHATSAPP,v2,31-60,1,0.0,0.0,0.0,0.0,False
TGT0006284,ACC0000619,CMP0000042,2026-01-01,2026-01,SMS,10,BRW0007187,75,HIGH,PERSONAL,456545.05,UTC,BOUNCE,FIELD,v3,61-90,1,0.0,0.0,0.0,0.0,False
TGT0000924,ACC0000622,CMP0000064,2026-01-30,2026-01,VOICE,3,BRW0009366,45,LOW,PERSONAL,682737.81,UTC,60DPD_INTENT,FIELD,v2,31-60,1,0.0,0.0,0.0,0.0,False
TGT0021740,ACC0000625,CMP0000112,2026-01-21,2026-01,VOICE,2,BRW0007092,60,MEDIUM,BNPL,121901.53,UTC,60DPD_INTENT,MIXED,v3,31-60,1,0.0,0.0,0.0,0.0,False
