agent_id,employee_code,team,vendor_id,joined_at,canonical_agent_id
AGT0000168,EMP00219,T1,VND0000015,2024-05-11 22:05:01,AGT0000168
AGT0000169,EMP01048,T3,VND0000002,2025-11-20 17:44:31,AGT0000305
AGT0000170,EMP00939,T2,VND0000001,2024-12-28 20:51:16,AGT0000548
AGT0000171,EMP00233,DIGITAL,VND0000015,2025-02-06 18:01:44,AGT0000171
AGT0000172,EMP01087,FIELD,VND0000007,2024-10-15 14:45:16,AGT0000172
AGT0000173,EMP00194,T2,VND0000007,2025-05-04 00:31:58,AGT0000173
AGT0000174,EMP00518,FIELD,VND0000010,2025-02-24 21:59:39,AGT0000174
AGT0000175,EMP00310,T3,VND0000014,2024-11-21 08:07:54,AGT0000175
AGT0000176,EMP00979,T1,VND0000006,2024-02-01 13:52:14,AGT0000176
AGT0000177,EMP00836,FIELD,VND0000013,2024-01-04 08:34:02,AGT0000177
AGT0000178,EMP01042,DIGITAL,VND0000001,2025-06-29 12:14:17,AGT0000178
AGT0000179,EMP00343,T3,VND0000005,2024-06-22 09:06:10,AGT0000154
AGT0000180,EMP00917,FIELD,VND0000006,2024-05-12 19:20:06,AGT0000180
AGT0000181,EMP00054,DIGITAL,VND0000010,2025-10-19 07:00:25,AGT0000181
AGT0000182,EMP00676,DIGITAL,VND0000009,2024-08-11 20:00:04,AGT0000381
AGT0000183,EMP00120,FIELD,VND0000010,2024-11-12 10:49:43,AGT0000183
AGT0000184,EMP00666,DIGITAL,VND0000009,2024-12-26 00:46:59,AGT0000655
AGT0000185,EMP00025,T2,VND0000004,2025-09-16 18:10:58,AGT0000881
AGT0000186,EMP00403,T2,VND0000002,2025-05-05 03:35:16,AGT0000186
AGT0000187,EMP00224,T2,VND0000008,2024-05-18 20:23:07,AGT0000518
AGT0000188,EMP00267,T2,VND0000013,2025-11-01 14:26:08,AGT0000936
AGT0000189,EMP00677,T3,VND0000007,2025-06-15 05:40:56,AGT0000529
AGT0000190,EMP00669,DIGITAL,VND0000010,2024-06-13 09:36:27,AGT0000190
AGT0000191,EMP00580,T3,VND0000012,2024-06-15 13:17:57,AGT0000191
AGT0000192,EMP00727,DIGITAL,VND0000005,2024-03-13 12:19:34,AGT0000192
AGT0000193,EMP00220,DIGITAL,VND0000012,2025-11-21 03:13:42,AGT0000040
AGT0000194,EMP00459,DIGITAL,VND0000002,2024-08-10 14:42:42,AGT0000194
AGT0000195,EMP00306,T1,VND0000006,2025-07-05 10:06:07,AGT0000195
AGT0000196,EMP01083,T2,VND0000006,2025-11-22 07:54:27,AGT0000056
AGT0000197,EMP00152,T2,VND0000007,2025-01-19 08:56:59,AGT0000535
AGT0000198,EMP00063,T1,VND0000014,2025-01-05 20:34:11,AGT0000198
AGT0000199,EMP00958,T3,VND0000001,2024-02-04 18:49:39,AGT0000199
AGT0000200,EMP00098,T2,VND0000002,2025-07-31 14:31:16,AGT0000399
AGT0000201,EMP00297,DIGITAL,VND0000014,2025-11-18 12:01:57,AGT0000201
AGT0000202,EMP00579,FIELD,VND0000008,2025-04-09 14:16:47,AGT0000202
AGT0000203,EMP00171,FIELD,VND0000007,2024-03-10 16:33:33,AGT0000203
AGT0000204,EMP00881,T3,VND0000008,2025-07-08 11:20:53,AGT0000204
AGT0000205,EMP00041,T2,VND0000003,2024-10-03 15:48:21,AGT0000205
AGT0000206,EMP00558,T2,VND0000015,2024-05-19 15:29:37,AGT0000721
AGT0000207,EMP00520,T2,VND0000015,2024-05-26 20:29:13,AGT0000673
AGT0000208,EMP01038,T3,VND0000006,2024-09-13 23:41:52,AGT0000208
AGT0000209,EMP00361,T2,VND0000011,2025-10-16 22:08:19,AGT0000251
AGT0000210,EMP00497,T3,VND0000013,2024-08-11 16:03:34,AGT0000365
AGT0000211,EMP00808,T3,VND0000002,2025-07-02 13:35:11,AGT0000709
AGT0000212,EMP00922,T1,VND0000014,2024-06-13 15:31:34,AGT0000212
AGT0000213,EMP00685,T2,VND0000003,2024-11-26 03:53:31,AGT0000213
AGT0000214,EMP00262,DIGITAL,VND0000011,2025-07-18 00:08:22,AGT0000214
AGT0000215,EMP00899,DIGITAL,VND0000002,2025-06-04 19:37:30,AGT0000745
AGT0000216,EMP01098,T1,VND0000011,2024-07-05 14:04:11,AGT0000216
AGT0000217,EMP00759,FIELD,VND0000014,2024-11-16 10:00:46,AGT0000217
AGT0000218,EMP00269,DIGITAL,VND0000011,2025-09-15 19:23:19,AGT0000864
AGT0000219,EMP00105,T1,VND0000012,2025-01-17 17:23:47,AGT0000219
AGT0000220,EMP00673,T3,VND0000014,2024-07-05 05:44:03,AGT0000220
AGT0000221,EMP00794,DIGITAL,VND0000012,2024-10-12 15:44:19,AGT0000221
AGT0000222,EMP00059,T3,VND0000004,2025-04-11 17:27:32,AGT0000931
AGT0000223,EMP00874,T2,VND0000005,2025-09-19 21:39:34,AGT0000921
AGT0000224,EMP00777,T3,VND0000014,2024-10-29 21:58:23,AGT0000224
AGT0000225,EMP00736,FIELD,VND0000007,2025-08-10 09:27:48,AGT0000859
AGT0000226,EMP00588,T1,VND0000002,2025-11-19 08:59:46,AGT0000226
AGT0000227,EMP00687,FIELD,VND0000010,2025-11-24 16:47:07,AGT0000772
AGT0000228,EMP00865,FIELD,VND0000007,2024-12-18 17:26:58,AGT0000228
AGT0000229,EMP00945,T1,VND0000009,2024-03-30 23:38:02,AGT0000229
AGT0000230,EMP00154,T3,VND0000010,2024-08-18 00:51:04,AGT0000230
AGT0000231,EMP00894,T1,VND0000015,2024-06-24 09:17:28,AGT0000231
AGT0000232,EMP00837,T3,VND0000002,2024-01-21 10:24:38,AGT0000232
AGT0000233,EMP01089,T1,VND0000002,2024-10-01 17:53:36,AGT0000142
AGT0000234,EMP00342,FIELD,VND0000004,2024-12-08 01:26:05,AGT0000020
AGT0000235,EMP00542,DIGITAL,VND0000013,2024-05-05 13:05:06,AGT0000235
AGT0000236,EMP00325,FIELD,VND0000009,2025-01-18 17:08:53,AGT0000958
AGT0000237,EMP00970,FIELD,VND0000003,2024-05-07 21:41:28,AGT0000237
AGT0000238,EMP00785,DIGITAL,VND0000015,2024-10-20 06:58:37,AGT0000238
AGT0000239,EMP00144,T3,VND0000010,2024-02-28 04:57:45,AGT0000239
AGT0000240,EMP00259,T1,VND0000001,2024-02-02 10:44:26,AGT0000240
AGT0000241,EMP00907,T2,VND0000008,2025-11-23 19:44:49,AGT0000096
AGT0000242,EMP00904,DIGITAL,VND0000015,2025-03-19 22:14:40,AGT0000242
AGT0000243,EMP00888,T3,VND0000007,2025-10-30 23:55:10,AGT0000038
AGT0000244,EMP00009,T2,VND0000005,2025-09-04 12:03:10,AGT0000244
AGT0000245,EMP00211,T2,VND0000010,2025-10-04 18:22:19,AGT0000885
AGT0000246,EMP00209,FIELD,VND0000004,2024-01-24 03:44:34,AGT0000246
AGT0000247,EMP00100,FIELD,VND0000014,2024-06-14 09:58:32,AGT0000247
AGT0000248,EMP00020,FIELD,VND0000010,2024-01-18 17:15:27,AGT0000248
AGT0000249,EMP00527,T3,VND0000006,2025-10-19 10:52:37,AGT0000249
AGT0000250,EMP00653,T3,VND0000014,2024-11-09 11:10:59,AGT0000553
AGT0000251,EMP00361,T3,VND0000007,2024-11-27 08:55:22,AGT0000251
AGT0000252,EMP00515,DIGITAL,VND0000004,2025-08-05 07:07:03,AGT0000717
AGT0000253,EMP00624,DIGITAL,VND0000014,2024-03-03 11:07:16,AGT0000253
AGT0000254,EMP01068,T1,VND0000001,2024-09-10 16:01:11,AGT0000118
AGT0000255,EMP00752,T3,VND0000008,2025-03-07 17:40:25,AGT0000465
AGT0000256,EMP01000,T2,VND0000007,2025-02-20 00:31:05,AGT0000256
AGT0000257,EMP00169,T3,VND0000015,2025-11-08 13:46:15,AGT0000487
AGT0000258,EMP00647,DIGITAL,VND0000012,2024-12-27 10:26:18,AGT0000258
AGT0000259,EMP00922,DIGITAL,VND0000003,2024-07-27 00:25:19,AGT0000212
AGT0000260,EMP00800,T2,VND0000004,2025-10-12 13:47:55,AGT0000260
AGT0000261,EMP00395,T1,VND0000003,2025-08-27 15:29:52,AGT0000261
AGT0000262,EMP00329,T3,VND0000004,2025-10-28 00:25:22,AGT0000262
AGT0000263,EMP00986,FIELD,VND0000007,2024-02-26 04:34:07,AGT0000263
AGT0000264,EMP00826,T2,VND0000002,2025-03-04 11:50:07,AGT0000264
AGT0000265,EMP01052,T2,VND0000006,2025-08-28 01:44:15,AGT0000265
AGT0000266,EMP01086,T2,VND0000008,2024-10-26 12:49:04,AGT0000051
AGT0000267,EMP01001,T1,VND0000007,2024-08-10 23:13:28,AGT0000267
AGT0000268,EMP00241,T2,VND0000009,2025-04-15 02:08:45,AGT0000268
AGT0000269,EMP00238,T1,VND0000009,2025-08-11 08:51:59,AGT0000269
AGT0000270,EMP00074,T1,VND0000006,2024-04-29 04:57:39,AGT0000270
AGT0000271,EMP00409,FIELD,VND0000015,2025-04-18 16:18:39,AGT0000807
AGT0000272,EMP01027,T1,VND0000014,2024-03-14 22:43:39,AGT0000272
AGT0000273,EMP01085,T1,VND0000006,2025-10-26 06:13:50,AGT0000850
AGT0000274,EMP01030,T2,VND0000002,2024-09-14 03:24:32,AGT0000274
AGT0000275,EMP00425,FIELD,VND0000006,2024-06-20 14:24:23,AGT0000126
AGT0000276,EMP00688,T3,VND0000008,2025-07-29 07:47:54,AGT0000276
AGT0000277,EMP00740,FIELD,VND0000002,2024-03-14 11:42:52,AGT0000277
AGT0000278,EMP01099,T2,VND0000003,2025-05-09 08:26:20,AGT0000278
AGT0000279,EMP00630,T1,VND0000011,2025-04-11 16:44:50,AGT0000823
AGT0000280,EMP00673,T2,VND0000002,2025-03-01 08:17:49,AGT0000220
AGT0000281,EMP01095,FIELD,VND0000007,2025-05-27 09:27:56,AGT0000281
AGT0000282,EMP01024,FIELD,VND0000004,2025-04-30 09:56:38,AGT0000605
AGT0000283,EMP00909,T2,VND0000002,2024-09-13 22:33:29,AGT0000283
AGT0000284,EMP00578,T3,VND0000009,2025-03-13 05:26:46,AGT0000688
AGT0000285,EMP00651,T2,VND0000015,2024-05-19 22:29:04,AGT0000285
AGT0000286,EMP00676,T1,VND0000004,2025-09-15 02:18:01,AGT0000381
AGT0000287,EMP00023,T2,VND0000004,2024-09-19 01:30:23,AGT0000287
AGT0000288,EMP00850,T3,VND0000002,2025-04-11 07:21:58,AGT0000288
AGT0000289,EMP00278,T1,VND0000014,2025-04-29 01:15:50,AGT0000289
AGT0000290,EMP00739,T2,VND0000006,2025-09-01 07:21:59,AGT0000314
AGT0000291,EMP00726,T3,VND0000004,2024-12-21 04:14:06,AGT0000291
AGT0000292,EMP01018,T2,VND0000002,2025-06-08 16:34:21,AGT0000292
AGT0000293,EMP00989,T1,VND0000013,2024-10-07 06:49:22,AGT0000897
AGT0000294,EMP00729,T2,VND0000004,2024-03-26 08:52:00,AGT0000294
AGT0000295,EMP00466,FIELD,VND0000003,2025-09-19 23:22:10,AGT0000675
AGT0000296,EMP00678,DIGITAL,VND0000009,2025-08-07 10:23:06,AGT0000296
AGT0000297,EMP00514,T3,VND0000010,2024-03-07 18:40:00,AGT0000297
AGT0000298,EMP00741,T3,VND0000010,2025-01-31 20:40:01,AGT0000298
AGT0000299,EMP00600,T2,VND0000014,2025-04-26 23:46:31,AGT0000391
AGT0000300,EMP00575,DIGITAL,VND0000015,2024-02-15 07:51:44,AGT0000300
AGT0000301,EMP00092,T3,VND0000011,2025-04-15 19:11:00,AGT0000479
AGT0000302,EMP00819,T3,VND0000001,2025-03-07 22:37:53,AGT0000302
AGT0000303,EMP00138,T1,VND0000005,2025-11-09 18:55:28,AGT0000303
AGT0000304,EMP00978,DIGITAL,VND0000005,2024-03-05 01:20:58,AGT0000304
AGT0000305,EMP01048,T1,VND0000007,2024-04-25 15:02:28,AGT0000305
AGT0000306,EMP00900,T3,VND0000007,2025-02-21 18:04:16,AGT0000306
AGT0000307,EMP00307,T3,VND0000009,2025-06-28 04:23:43,AGT0000307
AGT0000308,EMP00798,T3,VND0000010,2025-04-14 05:09:43,AGT0000639
AGT0000309,EMP00089,T1,VND0000005,2025-01-08 11:26:55,AGT0000309
AGT0000310,EMP00813,T1,VND0000014,2024-05-17 05:15:16,AGT0000310
AGT0000311,EMP00391,T3,VND0000008,2025-07-29 18:34:48,AGT0000081
AGT0000312,EMP00340,DIGITAL,VND0000011,2025-09-16 19:03:25,AGT0000044
AGT0000313,EMP00115,FIELD,VND0000011,2025-04-02 14:22:27,AGT0000313
AGT0000314,EMP00739,T1,VND0000013,2024-01-18 22:09:43,AGT0000314
AGT0000315,EMP00837,DIGITAL,VND0000013,2025-01-19 07:48:04,AGT0000232
AGT0000316,EMP00410,DIGITAL,VND0000009,2025-11-12 03:35:35,AGT0000911
AGT0000317,EMP00995,T2,VND0000005,2024-09-24 20:10:17,AGT0000508
AGT0000318,EMP00345,T1,VND0000008,2025-02-23 15:28:40,AGT0000078
AGT0000319,EMP00444,FIELD,VND0000006,2024-08-08 19:40:15,AGT0000319
AGT0000320,EMP00422,T2,VND0000010,2025-02-13 04:06:33,AGT0000608
AGT0000321,EMP00667,T2,VND0000014,2024-12-25 12:55:08,AGT0000990
AGT0000322,EMP00184,DIGITAL,VND0000012,2024-03-28 19:58:15,AGT0000322
AGT0000323,EMP00315,T2,VND0000003,2024-08-30 16:28:44,AGT0000323
